Date,Price
18/07/2024,571.9732791484945
19/07/2024,593.6286687768509
20/07/2024,593.7583912963933
21/07/2024,601.817243994619
22/07/2024,589.292647245785
23/07/2024,582.4529136231971
24/07/2024,574.4106472326896
25/07/2024,570.9283836332269
26/07/2024,581.0688197159623
27/07/2024,582.1631652390556
28/07/2024,584.4214798073752
29/07/2024,574.7212730893208
30/07/2024,585.8203686347002
31/07/2024,576.7235905020976
01/08/2024,575.3955117876043
02/08/2024,542.9536431671482
03/08/2024,529.824763245154
04/08/2024,495.964297435195
05/08/2024,464.9172230655701
06/08/2024,483.581470315453
07/08/2024,474.9151754817527
08/08/2024,517.0200212361478
09/08/2024,508.50598966236623
10/08/2024,523.4081972371441
11/08/2024,503.4723056454186
12/08/2024,518.7522169712583
13/08/2024,523.5534548294074
